Park Name,Type of Unit,State,Reg,Alpha
Abraham Lincoln Birthplace,National Historical Park,KY,SER,ABLI
Acadia,National Park,ME,NER,ACAD
Adams,National Historical Park,MA,NER,ADAM
African Burial Ground,National Monument,NY,NER,AFBG
Agate Fossil Beds,National Monument,NE,MWR,AGFO
Alagnak,Wild River,AK,AKR,ALAG
Alibates Flint Quarries,National Monument,TX,IMR,ALFL
Allegheny Portage Railroad,National Historic Site,PA,NER,ALPO
Amistad,National Recreation Area,TX,IMR,AMIS
Andersonville,National Historic Site,GA,SER,ANDE
Aniakchak,National Monument & Preserve,AK,AKR,ANIA
Andrew Johnson,National Historic Site,TN,SER,ANJO
Antietam,National Battlefield,MD,NCR,ANTI
Appomattox Court House,National Historical Park,VA,NER,APCO
Apostle Islands,National Lakeshore,WI,MWR,APIS
Appalachian,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",NER,APPA
Arches,National Park,UT,IMR,ARCH
"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,NCR,ARHO
Arkansas Post,National Memorial,AR,MWR,ARPO
Assateague Island,National Seashore,"MD,VA",NER,ASIS
Aztec Ruins,National Monument,NM,IMR,AZRU
Badlands,National Park,SD,MWR,BADL
Bandelier,National Monument,NM,IMR,BAND
Bering Land Bridge,National Preserve,AK,AKR,BELA
Bent's Old Fort,National Historic Site,CO,IMR,BEOL
Big Bend,National Park,TX,IMR,BIBE
Bighorn Canyon,National Recreation Area,"MT,WY",IMR,BICA
Big Cypress,National Preserve,FL,SER,BICY
Big Hole,National Battlefield,MT,PWR,BIHO
Biscayne,National Park,FL,SER,BISC
Big South Fork,National River & Recreation Area,"KY,TN",SER,BISO
Big Thicket,National Preserve,TX,IMR,BITH
Black Canyon Of The Gunnison,National Park,CO,IMR,BLCA
Blue Ridge,Parkway,"NC,VA",SER,BLRI
Bluestone,National Scenic River,WV,NER,BLUE
Boston African American,National Historic Site,MA,NER,BOAF
Boston Harbor Islands,National Recreation Area,MA,NER,BOHA
Boston,National Historical Park,MA,NER,BOST
Booker T Washington,National Monument,VA,NER,BOWA
Bryce Canyon,National Park,UT,IMR,BRCA
Brices Cross Roads,National Battlefield Site,MS,SER,BRCR
Brown V Board Of Education,National Historic Site,KS,MWR,BRVB
Buffalo,National River,AR,MWR,BUFF
Buck Island Reef,National Monument,VI,SER,BUIS
Cabrillo,National Monument,CA,PWR,CABR
Canyon De Chelly,National Monument,AZ,IMR,CACH
Castle Clinton,National Monument,NY,NER,CACL
Cape Cod,National Seashore,MA,NER,CACO
Casa Grande Ruins,National Monument,AZ,IMR,CAGR
Cape Hatteras,National Seashore,NC,SER,CAHA
Cape Krusenstern,National Monument,AK,AKR,CAKR
Cape Lookout,National Seashore,NC,SER,CALO
Canaveral,National Seashore,FL,SER,CANA
Canyonlands,National Park,UT,IMR,CANY
Capitol Reef,National Park,UT,IMR,CARE
Cane River Creole,National Historical Park,LA,SER,CARI
Carl Sandburg Home,National Historic Site,NC,SER,CARL
Castillo De San Marcos,National Monument,FL,SER,CASA
Catoctin Mountain,Park,MD,NCR,CATO
Carlsbad Caverns,National Park,NM,IMR,CAVE
Capulin Volcano,National Monument,NM,IMR,CAVO
Carter G. Woodson Home,National Historic Site,DC,NCR,CAWO
Chesapeake Bay,Gateways and Watertrails Network,"DC, MD, NY, PA, VA, WV",,CBGN
Cedar Creek & Belle Grove,National Historical Park,VA,NER,CEBE
Cedar Breaks,National Monument,UT,IMR,CEBR
César E. Chávez,National Monument,CA,PWR,CECH
Chamizal,National Memorial,TX,IMR,CHAM
Chattahoochee River,National Recreation Area,GA,SER,CHAT
Chickamauga & Chattanooga,National Military Park,GA,SER,CHCH
Chaco Culture,National Historical Park,NM,IMR,CHCU
Chickasaw,National Recreation Area,OK,IMR,CHIC
Chiricahua,National Monument,AZ,IMR,CHIR
Channel Islands,National Park,CA,PWR,CHIS
Chesapeake & Ohio Canal,National Historical Park,"DC,MD,WV",NCR,CHOH
Charles Pinckney,National Historic Site,SC,SER,CHPI
Christiansted,National Historic Site,VI,SER,CHRI
Little Rock Central High School,National Historic Site,AR,MWR,CHSC
Charles Young Buffalo Soldiers,National Monument,OH,MWR,CHYO
City Of Rocks,National Reserve,ID,PWR,CIRO
Clara Barton,National Historic Site,MD,NCR,CLBA
Constitution Gardens,,DC,NCR,COGA
Colorado,National Monument,CO,IMR,COLM
Colonial,National Historical Park,VA,NER,COLO
Congaree,National Park,SC,SER,CONG
Coronado,National Memorial,AZ,IMR,CORO
Cowpens,National Battlefield,SC,SER,COWP
Crater Lake,National Park,OR,PWR,CRLA
Craters Of The Moon,National Monument & Preserve,ID,PWR,CRMO
Cumberland Gap,National Historical Park,"KY, TN, VA",SER,CUGA
Cumberland Island,National Seashore,GA,SER,CUIS
Curecanti,National Recreation Area,CO,IMR,CURE
Cuyahoga Valley,National Park,OH,MWR,CUVA
Dayton Aviation Heritage,National Historical Park,OH,MWR,DAAV
Delaware,National Scenic River,PA,NER,DELA
Denali,National Park & Preserve,AK,AKR,DENA
Devils Postpile,National Monument,CA,PWR,DEPO
De Soto,National Memorial,FL,SER,DESO
Devils Tower,National Monument,WY,IMR,DETO
Death Valley,National Park,CA,PWR,DEVA
Delaware Water Gap,National Recreation Area,PA,NER,DEWA
Dinosaur,National Monument,"CO,UT",IMR,DINO
Dry Tortugas,National Park,FL,SER,DRTO
Ebey's Landing,National Historical Reserve,WA,PWR,EBLA
Edgar Allan Poe,National Historic Site,PA,NER,EDAL
Thomas Edison,National Historical Park,NJ,NER,EDIS
Effigy Mounds,National Monument,IA,MWR,EFMO
Eisenhower,National Historic Site,PA,NER,EISE
El Malpais,National Monument,NM,IMR,ELMA
El Morro,National Monument,NM,IMR,ELMO
Eleanor Roosevelt,National Historic Site,NY,NER,ELRO
Eugene O'Neill,National Historic Site,CA,PWR,EUON
Everglades,National Park,FL,SER,EVER
Federal Hall,National Memorial,NY,NER,FEHA
Fire Island,National Seashore,NY,NER,FIIS
First Ladies,National Historic Site,OH,MWR,FILA
Florissant Fossil Beds,National Monument,CO,IMR,FLFO
Flight 93,National Memorial,PA,NER,FLNI
Fort Bowie,National Historic Site,AZ,IMR,FOBO
Fossil Butte,National Monument,WY,IMR,FOBU
Fort Caroline,National Memorial,FL,SER,FOCA
Fort Davis,National Historic Site,TX,IMR,FODA
Fort Donelson,National Battlefield,TN,SER,FODO
Fort Frederica,National Monument,GA,SER,FOFR
Fort Laramie,National Historic Site,WY,IMR,FOLA
Fort Larned,National Historic Site,KS,MWR,FOLS
Fort Matanzas,National Monument,FL,SER,FOMA
Fort McHenry,National Monument and Historic Shrine,MD,NER,FOMC
Fort Monroe,National Monument,VA,NER,FOMR
